dep_code,dep_nom,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
70,HAUTE-SAONE,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,8,8,8,8,9,9,9,10,10,10,11,10,10,10,10,10,9,9,9,9,8,7,7,7,7,7,7,7,7,7,7
71,SAONE-ET-LOIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,26,26,25,26,25,24,24,25,25,24,24,22,23,23,22,23,23,23,22,23,23,23,21,21,21,21,21,21,22,20,20,21,19
72,SARTHE,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,15,14,16,16,15,16,16,16,15,16,16,16,16,15,15,15,16,16,16,16,17,17,17,17,16,17,16,16,16,16,16
73,SAVOIE,,,,,,,,,,,,,,,,,,,,,,,,,,,54,54,55,56,55,55,54,57,58,58,58,58,57,56,57,56,56,57,56,56,52,49,47,49,48,48,48,48,47,45,45,44,45
74,HAUTE-SAVOIE,,,,,,,,,,,,,,,,,,,,,,,,,,,53,53,52,53,53,54,56,56,54,52,50,48,47,47,48,47,47,46,45,46,44,41,41,42,42,42,42,41,41,41,44,44,43
75,PARIS,,,,,,,,,,,,,,,,,,,,,,,,,,,108,104,102,97,97,95,96,94,93,93,91,90,89,89,88,87,84,84,84,83,86,88,87,85,87,84,85,82,78,75,77,78,78
76,SEINE-MARITIME,,,,,,,,,,,,,,,,,,,,,,,,,,,33,32,30,29,29,28,29,32,33,31,30,29,29,29,29,29,29,32,30,31,32,30,30,29,29,30,31,31,31,31,31,31,31
77,SEINE-ET-MARNE,,,,,,,,,,,,,,,,,,,,,,,,,,,25,27,27,29,28,29,30,31,31,30,33,33,32,31,29,27,29,30,31,31,30,30,29,30,30,30,31,32,32,32,32,31,32
78,YVELINES,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,33,32,32,32,32,33,31,33,34,34,35,34,34,34,34,34,34,33,33,33,34,32,31,31,30,31,30,30,30,30,31
79,DEUX-SEVRES,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,17,17,15,15,15,15,15,15,15,15,15,15,15,15,14,15,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13
